"You have successfully built the site search index.";"You have successfully built the site search index."
"Total pages indexed:";"Total pages indexed:"
"Search Results";"Search Results"
"Your search for";"Your search for"
"returned";"returned"
"result(s)";"result(s)"
"did not return any results";"did not return any results"
