"You have successfully built the site search index.";"شما با موفقیت لیست جستجو را ساخته‌اید."
"Total pages indexed:";"مجموع صفحه‌های لیست شده:"
"Search Results";"نتایج جستجو"
"Your search for";"جستجوی شما برای"
"returned";"تعداد"
"result(s)";"نتیجه داشته است"
"did not return any results";"هیچ نتیجه‌ای نداشت"
